 ,Production (W)
2026-08-02 00:00,0
2026-08-02 00:20,0
2026-08-02 00:40,0
2026-08-02 01:00,0
2026-08-02 01:20,0
2026-08-02 01:40,0
2026-08-02 02:00,0
2026-08-02 02:20,0
2026-08-02 02:40,0
2026-08-02 03:00,0
2026-08-02 03:20,0
2026-08-02 03:40,0
2026-08-02 04:00,0
2026-08-02 04:20,0
2026-08-02 04:40,0
2026-08-02 05:00,0
2026-08-02 05:20,0
2026-08-02 05:25,2.5
2026-08-02 05:30,3.7
2026-08-02 05:35,5.4
2026-08-02 05:40,7.5
2026-08-02 05:45,10.1
2026-08-02 05:50,15.1
2026-08-02 05:55,24.1
2026-08-02 06:00,35.2
2026-08-02 06:05,41.3
2026-08-02 06:10,47.6
2026-08-02 06:15,54
2026-08-02 06:20,61.1
2026-08-02 06:25,66.4
2026-08-02 06:30,73.5
2026-08-02 06:35,79.6
2026-08-02 06:40,85.5
2026-08-02 06:45,92.7
2026-08-02 06:50,100.9
2026-08-02 06:55,107.8
2026-08-02 07:00,118.9
2026-08-02 07:05,149.9
2026-08-02 07:10,154.5
2026-08-02 07:15,102.5
2026-08-02 07:20,49.1
2026-08-02 07:25,72.8
2026-08-02 07:30,100.5
2026-08-02 07:35,101.8
2026-08-02 07:40,153.7
2026-08-02 07:45,85
2026-08-02 07:50,80.8
2026-08-02 07:55,192.1
2026-08-02 08:00,203.6
2026-08-02 08:05,84.7
2026-08-02 08:10,214.1
2026-08-02 08:15,68.4
2026-08-02 08:20,193.8
2026-08-02 08:25,209.2
2026-08-02 08:30,214.6
2026-08-02 08:35,219.6
2026-08-02 08:40,228.3
2026-08-02 08:45,234.8
2026-08-02 08:50,241.8
2026-08-02 08:55,229.1
2026-08-02 09:00,258.1
2026-08-02 09:05,268.2
2026-08-02 09:10,272.2
2026-08-02 09:15,282.5
2026-08-02 09:20,291.9
2026-08-02 09:25,279.5
2026-08-02 09:30,308.8
2026-08-02 09:35,318
2026-08-02 09:40,321.7
2026-08-02 09:45,289.1
2026-08-02 09:50,338.6
2026-08-02 09:55,344.3
2026-08-02 10:00,352.7
2026-08-02 10:05,356.3
2026-08-02 10:10,368.6
2026-08-02 10:15,371.5
2026-08-02 10:20,375.3
2026-08-02 10:25,386.6
2026-08-02 10:30,393.8
2026-08-02 10:35,402.6
2026-08-02 10:40,395.6
2026-08-02 10:45,412
2026-08-02 10:50,412.4
2026-08-02 10:55,418.1
2026-08-02 11:00,424.8
2026-08-02 11:05,422.2
2026-08-02 11:10,435.9
2026-08-02 11:15,438.9
2026-08-02 11:20,444.6
2026-08-02 11:25,449.9
2026-08-02 11:30,435.3
2026-08-02 11:35,453.7
2026-08-02 11:40,349.8
2026-08-02 11:45,453.9
2026-08-02 11:50,482.7
2026-08-02 11:55,473.5
2026-08-02 12:00,485.8
2026-08-02 12:05,516.1
2026-08-02 12:10,136.3
2026-08-02 12:15,518.2
2026-08-02 12:20,532.1
2026-08-02 12:25,526.9
2026-08-02 12:30,559.6
2026-08-02 12:35,550.7
2026-08-02 12:40,540.9
2026-08-02 12:45,562
2026-08-02 12:50,229.3
2026-08-02 12:55,423.3
2026-08-02 13:00,239.3
2026-08-02 13:05,575.7
2026-08-02 13:10,551.2
2026-08-02 13:15,552.6
2026-08-02 13:20,518
2026-08-02 13:25,534.9
2026-08-02 13:30,498.1
2026-08-02 13:35,538.8
2026-08-02 13:40,536.4
2026-08-02 13:45,509.4
2026-08-02 13:50,508.4
2026-08-02 13:55,299.9
2026-08-02 14:00,439.8
2026-08-02 14:05,527.4
2026-08-02 14:10,507
2026-08-02 14:15,507.9
2026-08-02 14:20,155.2
2026-08-02 14:25,519.9
2026-08-02 14:30,504.4
2026-08-02 14:35,503.6
2026-08-02 14:40,500.2
2026-08-02 14:45,504.3
2026-08-02 14:50,493.3
2026-08-02 14:55,498.1
2026-08-02 15:00,491.3
2026-08-02 15:05,468.3
2026-08-02 15:10,458.6
2026-08-02 15:15,449
2026-08-02 15:20,449.3
2026-08-02 15:25,452.8
2026-08-02 15:30,444.2
2026-08-02 15:35,440.5
2026-08-02 15:40,433.8
2026-08-02 15:45,220.5
2026-08-02 15:50,455.1
2026-08-02 15:55,414
2026-08-02 16:00,101.4
2026-08-02 16:05,96.5
2026-08-02 16:10,108.1
2026-08-02 16:15,340.6
2026-08-02 16:20,394.1
2026-08-02 16:25,378.8
2026-08-02 16:30,377
2026-08-02 16:35,369.2
2026-08-02 16:40,363.6
2026-08-02 16:45,356.4
2026-08-02 16:50,347.9
2026-08-02 16:55,340.4
2026-08-02 17:00,332.1
2026-08-02 17:05,241.7
2026-08-02 17:10,310.4
2026-08-02 17:15,303.5
2026-08-02 17:20,302.7
2026-08-02 17:25,288.5
2026-08-02 17:30,287.4
2026-08-02 17:35,279.2
2026-08-02 17:40,267.7
2026-08-02 17:45,260.8
2026-08-02 17:50,252.4
2026-08-02 17:55,243.8
2026-08-02 18:00,235.3
2026-08-02 18:05,227.2
2026-08-02 18:10,220.3
2026-08-02 18:15,214.2
2026-08-02 18:20,205.1
2026-08-02 18:25,193.9
2026-08-02 18:30,189.5
2026-08-02 18:35,168.7
2026-08-02 18:40,186
2026-08-02 18:45,179.1
2026-08-02 18:50,165.9
2026-08-02 18:55,157.3
2026-08-02 19:00,149.6
2026-08-02 19:05,142.1
2026-08-02 19:10,133.3
2026-08-02 19:15,130.2
2026-08-02 19:20,123.7
2026-08-02 19:25,117.2
2026-08-02 19:30,108.6
2026-08-02 19:35,99
2026-08-02 19:40,99
2026-08-02 19:45,70.8
2026-08-02 19:50,82.5
2026-08-02 19:55,79.4
2026-08-02 20:00,73
2026-08-02 20:05,66.3
2026-08-02 20:10,59.1
2026-08-02 20:15,51.9
2026-08-02 20:20,40.6
2026-08-02 20:25,33.5
2026-08-02 20:30,30.3
2026-08-02 20:35,23.7
2026-08-02 20:40,19.3
2026-08-02 20:45,10.9
2026-08-02 20:50,5.9
2026-08-02 20:55,4.3
2026-08-02 21:00,2.9
2026-08-02 21:20,0
2026-08-02 21:40,0
2026-08-02 22:00,0
2026-08-02 22:20,0
2026-08-02 22:40,0
2026-08-02 23:00,0
2026-08-02 23:20,0
2026-08-02 23:40,0
