 ,Production (W)
2026-08-03 00:00,0
2026-08-03 00:20,0
2026-08-03 00:40,0
2026-08-03 01:00,0
2026-08-03 01:20,0
2026-08-03 01:40,0
2026-08-03 02:00,0
2026-08-03 02:20,0
2026-08-03 02:40,0
2026-08-03 03:00,0
2026-08-03 03:20,0
2026-08-03 03:40,0
2026-08-03 04:00,0
2026-08-03 04:20,0
2026-08-03 04:40,0
2026-08-03 05:00,0
2026-08-03 05:20,0
2026-08-03 05:25,2.9
2026-08-03 05:30,5.4
2026-08-03 05:35,9.7
2026-08-03 05:40,13.2
2026-08-03 05:45,15.4
2026-08-03 05:50,20.2
2026-08-03 05:55,30.9
2026-08-03 06:00,46.8
2026-08-03 06:05,61.8
2026-08-03 06:10,74.4
2026-08-03 06:15,81.7
2026-08-03 06:20,86.5
2026-08-03 06:25,37.8
2026-08-03 06:30,81.4
2026-08-03 06:35,96.2
2026-08-03 06:40,97.8
2026-08-03 06:45,94.5
2026-08-03 06:50,32.2
2026-08-03 06:55,76.8
2026-08-03 07:00,106.2
2026-08-03 07:05,113.9
2026-08-03 07:10,114
2026-08-03 07:15,103.5
2026-08-03 07:20,116.1
2026-08-03 07:25,148.2
2026-08-03 07:30,153.1
2026-08-03 07:35,157.9
2026-08-03 07:40,153.8
2026-08-03 07:45,143.6
2026-08-03 07:50,158.1
2026-08-03 07:55,176.4
2026-08-03 08:00,186.4
2026-08-03 08:05,194.8
2026-08-03 08:10,199.6
2026-08-03 08:15,205.3
2026-08-03 08:20,206.7
2026-08-03 08:25,137.6
2026-08-03 08:30,214.4
2026-08-03 08:35,227.4
2026-08-03 08:40,234.2
2026-08-03 08:45,240.6
2026-08-03 08:50,234.3
2026-08-03 08:55,257.3
2026-08-03 09:00,264
2026-08-03 09:05,265.7
2026-08-03 09:10,267.2
2026-08-03 09:15,280.9
2026-08-03 09:20,288.3
2026-08-03 09:25,295.6
2026-08-03 09:30,304.7
2026-08-03 09:35,311.8
2026-08-03 09:40,320.8
2026-08-03 09:45,327.1
2026-08-03 09:50,334.9
2026-08-03 09:55,345.4
2026-08-03 10:00,344.4
2026-08-03 10:05,364.1
2026-08-03 10:10,375.4
2026-08-03 10:15,380.5
2026-08-03 10:20,313.8
2026-08-03 10:25,374.1
2026-08-03 10:30,400.6
2026-08-03 10:35,414.6
2026-08-03 10:40,260.7
2026-08-03 10:45,416.3
2026-08-03 10:50,340.8
2026-08-03 10:55,216.6
2026-08-03 11:00,433.8
2026-08-03 11:05,378.4
2026-08-03 11:10,455.2
2026-08-03 11:15,446.3
2026-08-03 11:20,451.8
2026-08-03 11:25,454.4
2026-08-03 11:30,449.5
2026-08-03 11:35,467.2
2026-08-03 11:40,474.8
2026-08-03 11:45,475.3
2026-08-03 11:50,454.4
2026-08-03 11:55,463.3
2026-08-03 12:00,465.9
2026-08-03 12:05,465.7
2026-08-03 12:10,457.9
2026-08-03 12:15,470
2026-08-03 12:20,476.6
2026-08-03 12:25,487
2026-08-03 12:30,469.9
2026-08-03 12:35,475.5
2026-08-03 12:40,476.3
2026-08-03 12:45,464.2
2026-08-03 12:50,479.2
2026-08-03 12:55,480.8
2026-08-03 13:00,468.8
2026-08-03 13:05,464.4
2026-08-03 13:10,473
2026-08-03 13:15,472.4
2026-08-03 13:20,475.9
2026-08-03 13:25,477.7
2026-08-03 13:30,483.5
2026-08-03 13:35,482.1
2026-08-03 13:40,463.3
2026-08-03 13:45,471
2026-08-03 13:50,456.2
2026-08-03 13:55,435.6
2026-08-03 14:00,477.3
2026-08-03 14:05,473.4
2026-08-03 14:10,470.3
2026-08-03 14:15,458.5
2026-08-03 14:20,462
2026-08-03 14:25,462.2
2026-08-03 14:30,449.6
2026-08-03 14:35,451.2
2026-08-03 14:40,459.5
2026-08-03 14:45,442.9
2026-08-03 14:50,444.7
2026-08-03 14:55,440.2
2026-08-03 15:00,419.6
2026-08-03 15:05,437.8
2026-08-03 15:10,418
2026-08-03 15:15,428.6
2026-08-03 15:20,418.1
2026-08-03 15:25,396.5
2026-08-03 15:30,382.1
2026-08-03 15:35,376.3
2026-08-03 15:40,373
2026-08-03 15:45,380.3
2026-08-03 15:50,376.4
2026-08-03 15:55,399.9
2026-08-03 16:00,393.8
2026-08-03 16:05,351
2026-08-03 16:10,350.3
2026-08-03 16:15,330.5
2026-08-03 16:20,332
2026-08-03 16:25,360.3
2026-08-03 16:30,312.2
2026-08-03 16:35,328.6
2026-08-03 16:40,324.7
2026-08-03 16:45,336.3
2026-08-03 16:50,319.3
2026-08-03 16:55,273
2026-08-03 17:00,302.2
2026-08-03 17:05,305.4
2026-08-03 17:10,292.4
2026-08-03 17:15,299.4
2026-08-03 17:20,291.9
2026-08-03 17:25,287.1
2026-08-03 17:30,272
2026-08-03 17:35,248.1
2026-08-03 17:40,238.2
2026-08-03 17:45,243.2
2026-08-03 17:50,242.2
2026-08-03 17:55,218.9
2026-08-03 18:00,229.6
2026-08-03 18:05,206.5
2026-08-03 18:10,199.1
2026-08-03 18:15,208.5
2026-08-03 18:20,204
2026-08-03 18:25,196
2026-08-03 18:30,188.6
2026-08-03 18:35,177.6
2026-08-03 18:40,131.1
2026-08-03 18:45,161.9
2026-08-03 18:50,154.3
2026-08-03 18:55,147.4
2026-08-03 19:00,136.3
2026-08-03 19:05,130.4
2026-08-03 19:10,121.2
2026-08-03 19:15,116.9
2026-08-03 19:20,109.8
2026-08-03 19:25,99.2
2026-08-03 19:30,91.2
2026-08-03 19:35,81
2026-08-03 19:40,80.1
2026-08-03 19:45,76.2
2026-08-03 19:50,65.9
2026-08-03 19:55,63.3
2026-08-03 20:00,42.4
2026-08-03 20:05,45.8
2026-08-03 20:10,35.2
2026-08-03 20:15,29.2
