﻿;;"1DZG0040468260 / Energie bezogen (quarter-hourly)";"";"";
"Time from - (in local time)";"TimeTime - bis (in local time)";"Value";"Unit";"Status";
"08/03/2026 - 00:00:00";"08/03/2026 - 00:15:00";"0.032000";"kWh";"W";
"08/03/2026 - 00:15:00";"08/03/2026 - 00:30:00";"0.032700";"kWh";"W";
"08/03/2026 - 00:30:00";"08/03/2026 - 00:45:00";"0.032300";"kWh";"W";
"08/03/2026 - 00:45:00";"08/03/2026 - 01:00:00";"0.032000";"kWh";"W";
"08/03/2026 - 01:00:00";"08/03/2026 - 01:15:00";"0.032200";"kWh";"W";
"08/03/2026 - 01:15:00";"08/03/2026 - 01:30:00";"0.032100";"kWh";"W";
"08/03/2026 - 01:30:00";"08/03/2026 - 01:45:00";"0.032000";"kWh";"W";
"08/03/2026 - 01:45:00";"08/03/2026 - 02:00:00";"0.031900";"kWh";"W";
"08/03/2026 - 02:00:00";"08/03/2026 - 02:15:00";"0.031900";"kWh";"W";
"08/03/2026 - 02:15:00";"08/03/2026 - 02:30:00";"0.031600";"kWh";"W";
"08/03/2026 - 02:30:00";"08/03/2026 - 02:45:00";"0.031500";"kWh";"W";
"08/03/2026 - 02:45:00";"08/03/2026 - 03:00:00";"0.039200";"kWh";"W";
"08/03/2026 - 03:00:00";"08/03/2026 - 03:15:00";"0.040300";"kWh";"W";
"08/03/2026 - 03:15:00";"08/03/2026 - 03:30:00";"0.039800";"kWh";"W";
"08/03/2026 - 03:30:00";"08/03/2026 - 03:45:00";"0.038900";"kWh";"W";
"08/03/2026 - 03:45:00";"08/03/2026 - 04:00:00";"0.026200";"kWh";"W";
"08/03/2026 - 04:00:00";"08/03/2026 - 04:15:00";"0.028900";"kWh";"W";
"08/03/2026 - 04:15:00";"08/03/2026 - 04:30:00";"0.031700";"kWh";"W";
"08/03/2026 - 04:30:00";"08/03/2026 - 04:45:00";"0.031700";"kWh";"W";
"08/03/2026 - 04:45:00";"08/03/2026 - 05:00:00";"0.031200";"kWh";"W";
"08/03/2026 - 05:00:00";"08/03/2026 - 05:15:00";"0.031200";"kWh";"W";
"08/03/2026 - 05:15:00";"08/03/2026 - 05:30:00";"0.030900";"kWh";"W";
"08/03/2026 - 05:30:00";"08/03/2026 - 05:45:00";"0.029600";"kWh";"W";
"08/03/2026 - 05:45:00";"08/03/2026 - 06:00:00";"0.027100";"kWh";"W";
"08/03/2026 - 06:00:00";"08/03/2026 - 06:15:00";"0.018100";"kWh";"W";
"08/03/2026 - 06:15:00";"08/03/2026 - 06:30:00";"0.011900";"kWh";"W";
"08/03/2026 - 06:30:00";"08/03/2026 - 06:45:00";"0.009900";"kWh";"W";
"08/03/2026 - 06:45:00";"08/03/2026 - 07:00:00";"0.014300";"kWh";"W";
"08/03/2026 - 07:00:00";"08/03/2026 - 07:15:00";"0.012300";"kWh";"W";
"08/03/2026 - 07:15:00";"08/03/2026 - 07:30:00";"0.008400";"kWh";"W";
"08/03/2026 - 07:30:00";"08/03/2026 - 07:45:00";"0.000300";"kWh";"W";
"08/03/2026 - 07:45:00";"08/03/2026 - 08:00:00";"0.000000";"kWh";"W";
"08/03/2026 - 08:00:00";"08/03/2026 - 08:15:00";"0.000000";"kWh";"W";
"08/03/2026 - 08:15:00";"08/03/2026 - 08:30:00";"0.000300";"kWh";"W";
"08/03/2026 - 08:30:00";"08/03/2026 - 08:45:00";"0.000200";"kWh";"W";
"08/03/2026 - 08:45:00";"08/03/2026 - 09:00:00";"0.000000";"kWh";"W";
"08/03/2026 - 09:00:00";"08/03/2026 - 09:15:00";"0.047600";"kWh";"W";
"08/03/2026 - 09:15:00";"08/03/2026 - 09:30:00";"0.154500";"kWh";"W";
"08/03/2026 - 09:30:00";"08/03/2026 - 09:45:00";"0.095200";"kWh";"W";
"08/03/2026 - 09:45:00";"08/03/2026 - 10:00:00";"0.005600";"kWh";"W";
"08/03/2026 - 10:00:00";"08/03/2026 - 10:15:00";"0.000900";"kWh";"W";
"08/03/2026 - 10:15:00";"08/03/2026 - 10:30:00";"0.000000";"kWh";"W";
"08/03/2026 - 10:30:00";"08/03/2026 - 10:45:00";"0.014400";"kWh";"W";
"08/03/2026 - 10:45:00";"08/03/2026 - 11:00:00";"0.044700";"kWh";"W";
"08/03/2026 - 11:00:00";"08/03/2026 - 11:15:00";"0.000000";"kWh";"W";
"08/03/2026 - 11:15:00";"08/03/2026 - 11:30:00";"0.075900";"kWh";"W";
"08/03/2026 - 11:30:00";"08/03/2026 - 11:45:00";"0.181200";"kWh";"W";
"08/03/2026 - 11:45:00";"08/03/2026 - 12:00:00";"0.000000";"kWh";"W";
"08/03/2026 - 12:00:00";"08/03/2026 - 12:15:00";"0.041200";"kWh";"W";
"08/03/2026 - 12:15:00";"08/03/2026 - 12:30:00";"0.259100";"kWh";"W";
"08/03/2026 - 12:30:00";"08/03/2026 - 12:45:00";"0.723300";"kWh";"W";
"08/03/2026 - 12:45:00";"08/03/2026 - 13:00:00";"0.192500";"kWh";"W";
"08/03/2026 - 13:00:00";"08/03/2026 - 13:15:00";"0.105500";"kWh";"W";
"08/03/2026 - 13:15:00";"08/03/2026 - 13:30:00";"0.215600";"kWh";"W";
"08/03/2026 - 13:30:00";"08/03/2026 - 13:45:00";"0.269000";"kWh";"W";
"08/03/2026 - 13:45:00";"08/03/2026 - 14:00:00";"0.159900";"kWh";"W";
"08/03/2026 - 14:00:00";"08/03/2026 - 14:15:00";"0.505000";"kWh";"W";
"08/03/2026 - 14:15:00";"08/03/2026 - 14:30:00";"0.402400";"kWh";"W";
"08/03/2026 - 14:30:00";"08/03/2026 - 14:45:00";"0.053900";"kWh";"W";
"08/03/2026 - 14:45:00";"08/03/2026 - 15:00:00";"0.004100";"kWh";"W";
"08/03/2026 - 15:00:00";"08/03/2026 - 15:15:00";"0.006400";"kWh";"W";
"08/03/2026 - 15:15:00";"08/03/2026 - 15:30:00";"0.006000";"kWh";"W";
"08/03/2026 - 15:30:00";"08/03/2026 - 15:45:00";"0.219900";"kWh";"W";
"08/03/2026 - 15:45:00";"08/03/2026 - 16:00:00";"0.032900";"kWh";"W";
"08/03/2026 - 16:00:00";"08/03/2026 - 16:15:00";"0.026600";"kWh";"W";
"08/03/2026 - 16:15:00";"08/03/2026 - 16:30:00";"0.079600";"kWh";"W";
"08/03/2026 - 16:30:00";"08/03/2026 - 16:45:00";"0.000100";"kWh";"W";
"08/03/2026 - 16:45:00";"08/03/2026 - 17:00:00";"0.000000";"kWh";"W";
"08/03/2026 - 17:00:00";"08/03/2026 - 17:15:00";"0.004500";"kWh";"W";
"08/03/2026 - 17:15:00";"08/03/2026 - 17:30:00";"0.009400";"kWh";"W";
"08/03/2026 - 17:30:00";"08/03/2026 - 17:45:00";"0.004300";"kWh";"W";
"08/03/2026 - 17:45:00";"08/03/2026 - 18:00:00";"0.003000";"kWh";"W";
"08/03/2026 - 18:00:00";"08/03/2026 - 18:15:00";"0.008800";"kWh";"W";
"08/03/2026 - 18:15:00";"08/03/2026 - 18:30:00";"0.014600";"kWh";"W";
"08/03/2026 - 18:30:00";"08/03/2026 - 18:45:00";"0.050000";"kWh";"W";
"08/03/2026 - 18:45:00";"08/03/2026 - 19:00:00";"0.028700";"kWh";"W";
"08/03/2026 - 19:00:00";"08/03/2026 - 19:15:00";"0.031400";"kWh";"W";
"08/03/2026 - 19:15:00";"08/03/2026 - 19:30:00";"0.034000";"kWh";"W";
"08/03/2026 - 19:30:00";"08/03/2026 - 19:45:00";"0.040900";"kWh";"W";
"08/03/2026 - 19:45:00";"08/03/2026 - 20:00:00";"0.044900";"kWh";"W";
"08/03/2026 - 20:00:00";"08/03/2026 - 20:15:00";"0.051000";"kWh";"W";
"08/03/2026 - 20:15:00";"08/03/2026 - 20:30:00";"0.055500";"kWh";"W";
"08/03/2026 - 20:30:00";"08/03/2026 - 20:45:00";"0.516200";"kWh";"W";
"08/03/2026 - 20:45:00";"08/03/2026 - 21:00:00";"0.088000";"kWh";"W";
"08/03/2026 - 21:00:00";"08/03/2026 - 21:15:00";"0.089000";"kWh";"W";
"08/03/2026 - 21:15:00";"08/03/2026 - 21:30:00";"0.101400";"kWh";"W";
"08/03/2026 - 21:30:00";"08/03/2026 - 21:45:00";"0.134700";"kWh";"W";
