 ,Production (W)
2026-08-04 00:00,0
2026-08-04 00:20,0
2026-08-04 00:40,0
2026-08-04 01:00,0
2026-08-04 01:20,0
2026-08-04 01:40,0
2026-08-04 02:00,0
2026-08-04 02:20,0
2026-08-04 02:40,0
2026-08-04 03:00,0
2026-08-04 03:20,0
2026-08-04 03:40,0
2026-08-04 04:00,0
2026-08-04 04:20,0
2026-08-04 04:40,0
2026-08-04 05:00,0
2026-08-04 05:20,0
2026-08-04 05:25,8.3
2026-08-04 05:30,14.2
2026-08-04 05:35,19.6
2026-08-04 05:40,21.2
2026-08-04 05:45,23.7
2026-08-04 05:50,18.8
2026-08-04 05:55,18.3
2026-08-04 06:00,18.3
2026-08-04 06:05,11.6
2026-08-04 06:10,9.8
2026-08-04 06:15,7.5
2026-08-04 06:20,7.5
2026-08-04 06:25,11.3
2026-08-04 06:30,13.3
2026-08-04 06:35,15.1
2026-08-04 06:40,17
2026-08-04 06:45,17.6
2026-08-04 06:50,17
2026-08-04 06:55,14.5
2026-08-04 07:00,12.2
2026-08-04 07:05,12
2026-08-04 07:10,12.7
2026-08-04 07:15,15.4
2026-08-04 07:20,17.4
2026-08-04 07:25,11.4
2026-08-04 07:30,4.7
2026-08-04 07:35,1.5
2026-08-04 07:55,3.6
2026-08-04 08:00,6.4
2026-08-04 08:05,12.7
2026-08-04 08:10,18.7
2026-08-04 08:15,20.2
2026-08-04 08:20,25.8
2026-08-04 08:25,30
2026-08-04 08:30,22.6
2026-08-04 08:35,15.5
2026-08-04 08:40,20.8
2026-08-04 08:45,29.7
2026-08-04 08:50,32.5
2026-08-04 08:55,27.9
2026-08-04 09:00,26.8
2026-08-04 09:05,25.9
2026-08-04 09:10,26.7
2026-08-04 09:15,34
2026-08-04 09:20,47.7
2026-08-04 09:25,65.8
2026-08-04 09:30,50.3
2026-08-04 09:35,30.2
2026-08-04 09:40,19.4
2026-08-04 09:45,12.8
2026-08-04 09:50,17.1
2026-08-04 09:55,32.4
2026-08-04 10:00,47.7
2026-08-04 10:05,84.9
2026-08-04 10:10,90
2026-08-04 10:15,74.9
2026-08-04 10:20,73.3
2026-08-04 10:25,73.3
2026-08-04 10:30,104.7
2026-08-04 10:35,107
2026-08-04 10:40,136.2
2026-08-04 10:45,184.4
2026-08-04 10:50,289.5
2026-08-04 10:55,231.8
2026-08-04 11:00,241.9
2026-08-04 11:05,264.8
2026-08-04 11:10,271.4
2026-08-04 11:15,287.6
2026-08-04 11:20,238.8
2026-08-04 11:25,242.6
2026-08-04 11:30,365.1
2026-08-04 11:35,436.5
2026-08-04 11:40,311.1
2026-08-04 11:45,324.6
2026-08-04 11:50,411.1
2026-08-04 11:55,421.5
2026-08-04 12:00,414.4
2026-08-04 12:05,404.2
2026-08-04 12:10,420.7
2026-08-04 12:15,428.6
2026-08-04 12:20,453.6
2026-08-04 12:25,420.7
2026-08-04 12:30,484.4
2026-08-04 12:35,372.6
2026-08-04 12:40,441
2026-08-04 12:45,522.5
2026-08-04 12:50,426.7
2026-08-04 12:55,476.7
2026-08-04 13:00,528.1
2026-08-04 13:05,206.2
2026-08-04 13:10,328.3
2026-08-04 13:15,570.1
2026-08-04 13:20,196.1
2026-08-04 13:25,239.4
2026-08-04 13:30,182.1
2026-08-04 13:35,212.4
2026-08-04 13:40,326.9
2026-08-04 13:45,267.6
2026-08-04 13:50,242.6
2026-08-04 13:55,209.8
