 ,Production (W)
2026-08-06 00:00,0
2026-08-06 00:20,0
2026-08-06 00:40,0
2026-08-06 01:00,0
2026-08-06 01:20,0
2026-08-06 01:40,0
2026-08-06 02:00,0
2026-08-06 02:20,0
2026-08-06 02:40,0
2026-08-06 03:00,0
2026-08-06 03:20,0
2026-08-06 03:40,0
2026-08-06 04:00,0
2026-08-06 04:20,0
2026-08-06 04:40,0
2026-08-06 05:00,0
2026-08-06 05:20,0
2026-08-06 05:40,2.3
2026-08-06 05:45,3.1
2026-08-06 05:50,4.5
2026-08-06 05:55,7.3
2026-08-06 06:00,8.6
2026-08-06 06:05,9.8
2026-08-06 06:10,12.4
2026-08-06 06:15,17.5
2026-08-06 06:20,17.1
2026-08-06 06:25,29.1
2026-08-06 06:30,60
2026-08-06 06:35,25.2
2026-08-06 06:40,28.7
2026-08-06 06:45,32
2026-08-06 06:50,39.9
2026-08-06 06:55,35.9
2026-08-06 07:00,80.1
2026-08-06 07:05,119.5
2026-08-06 07:10,104.9
2026-08-06 07:15,48.3
2026-08-06 07:20,41.1
2026-08-06 07:25,130.9
2026-08-06 07:30,59.9
2026-08-06 07:35,165.9
2026-08-06 07:40,97.2
2026-08-06 07:45,89.8
2026-08-06 07:50,167.8
2026-08-06 07:55,65.2
2026-08-06 08:00,64.2
2026-08-06 08:05,203.1
2026-08-06 08:10,126.2
2026-08-06 08:15,60.8
2026-08-06 08:20,192.3
2026-08-06 08:25,200.4
2026-08-06 08:30,206.8
2026-08-06 08:35,215.1
2026-08-06 08:40,222.4
2026-08-06 08:45,227.9
2026-08-06 08:50,234.1
2026-08-06 08:55,240.7
2026-08-06 09:00,201.8
2026-08-06 09:05,231.3
2026-08-06 09:10,270.5
2026-08-06 09:15,290.9
2026-08-06 09:20,297.8
2026-08-06 09:25,137.1
2026-08-06 09:30,306.9
2026-08-06 09:35,331.8
2026-08-06 09:40,90.3
2026-08-06 09:45,114.4
2026-08-06 09:50,359.6
2026-08-06 09:55,330.3
2026-08-06 10:00,338.5
2026-08-06 10:05,352.9
2026-08-06 10:10,358.9
2026-08-06 10:15,366.2
2026-08-06 10:20,372.1
2026-08-06 10:25,377.4
2026-08-06 10:30,390.7
2026-08-06 10:35,448.6
2026-08-06 10:40,213.9
2026-08-06 10:45,450.7
2026-08-06 10:50,484.4
2026-08-06 10:55,427.2
2026-08-06 11:00,339.2
2026-08-06 11:05,505.5
2026-08-06 11:10,198.8
2026-08-06 11:15,121.5
2026-08-06 11:20,478.2
2026-08-06 11:25,71.2
2026-08-06 11:30,471.9
2026-08-06 11:35,471.3
2026-08-06 11:40,466.7
2026-08-06 11:45,487.4
2026-08-06 11:50,479.9
2026-08-06 11:55,477.2
2026-08-06 12:00,502.2
2026-08-06 12:05,503.6
2026-08-06 12:10,521.3
2026-08-06 12:15,582.4
2026-08-06 12:20,583.4
2026-08-06 12:25,237
2026-08-06 12:30,135
2026-08-06 12:35,156.7
2026-08-06 12:40,549.6
2026-08-06 12:45,240.1
2026-08-06 12:50,167.4
2026-08-06 12:55,584.3
2026-08-06 13:00,516.8
2026-08-06 13:05,516.7
2026-08-06 13:10,184.4
2026-08-06 13:15,165.2
2026-08-06 13:20,230.9
2026-08-06 13:25,476.8
2026-08-06 13:30,481.9
2026-08-06 13:35,480.2
2026-08-06 13:40,287.8
2026-08-06 13:45,335.6
2026-08-06 13:50,334.9
2026-08-06 13:55,443.2
2026-08-06 14:00,140.4
2026-08-06 14:05,215.8
2026-08-06 14:10,235
2026-08-06 14:15,281.7
2026-08-06 14:20,250.3
2026-08-06 14:25,217.3
2026-08-06 14:30,209.7
2026-08-06 14:35,241.7
2026-08-06 14:40,259.3
2026-08-06 14:45,223.3
2026-08-06 14:50,240.1
2026-08-06 14:55,237.4
2026-08-06 15:00,573.3
2026-08-06 15:05,360.1
2026-08-06 15:10,291.3
2026-08-06 15:15,316.7
2026-08-06 15:20,226.6
2026-08-06 15:25,217
2026-08-06 15:30,224.7
2026-08-06 15:35,215.2
2026-08-06 15:40,230.4
2026-08-06 15:45,505.7
2026-08-06 15:50,304.9
2026-08-06 15:55,367.8
2026-08-06 16:00,222.8
2026-08-06 16:05,276.8
2026-08-06 16:10,175.3
2026-08-06 16:15,207.6
2026-08-06 16:20,159.6
2026-08-06 16:25,174.7
2026-08-06 16:30,203.7
2026-08-06 16:35,210.6
2026-08-06 16:40,241.2
2026-08-06 16:45,140.8
2026-08-06 16:50,166.7
2026-08-06 16:55,142.5
2026-08-06 17:00,153.1
2026-08-06 17:05,183.6
2026-08-06 17:10,380.8
2026-08-06 17:15,341.8
2026-08-06 17:20,113.4
2026-08-06 17:25,118.2
2026-08-06 17:30,148.1
2026-08-06 17:35,323
2026-08-06 17:40,265.6
2026-08-06 17:45,268.7
2026-08-06 17:50,213.1
2026-08-06 17:55,73.8
2026-08-06 18:00,58.6
2026-08-06 18:05,62.1
2026-08-06 18:10,69.2
2026-08-06 18:15,71.4
2026-08-06 18:20,78.5
2026-08-06 18:25,77
2026-08-06 18:30,81.1
2026-08-06 18:35,93.6
2026-08-06 18:40,92.9
2026-08-06 18:45,104.3
2026-08-06 18:50,234.6
2026-08-06 18:55,128.8
2026-08-06 19:00,116.3
2026-08-06 19:05,114.5
2026-08-06 19:10,144
2026-08-06 19:15,76.4
2026-08-06 19:20,135.3
2026-08-06 19:25,147.2
2026-08-06 19:30,125.9
2026-08-06 19:35,103.2
2026-08-06 19:40,88.9
2026-08-06 19:45,81.3
2026-08-06 19:50,75.1
2026-08-06 19:55,71
2026-08-06 20:00,64
2026-08-06 20:05,58.7
2026-08-06 20:10,53.9
2026-08-06 20:15,44.4
2026-08-06 20:20,37.8
2026-08-06 20:25,33.5
2026-08-06 20:30,26.9
2026-08-06 20:35,17.5
2026-08-06 20:40,10.5
2026-08-06 20:45,6.9
2026-08-06 20:50,4.7
2026-08-06 20:55,3.1
2026-08-06 21:15,0
2026-08-06 21:35,0
2026-08-06 21:55,0
2026-08-06 22:15,0
2026-08-06 22:35,0
2026-08-06 22:55,0
2026-08-06 23:15,0
2026-08-06 23:35,0
2026-08-06 23:55,0
