﻿;;"1DZG0040468260 / Energie bezogen (quarter-hourly)";"";"";
"Time from - (in local time)";"TimeTime - bis (in local time)";"Value";"Unit";"Status";
"08/07/2026 - 00:00:00";"08/07/2026 - 00:15:00";"0.031900";"kWh";"W";
"08/07/2026 - 00:15:00";"08/07/2026 - 00:30:00";"0.043000";"kWh";"W";
"08/07/2026 - 00:30:00";"08/07/2026 - 00:45:00";"0.030100";"kWh";"W";
"08/07/2026 - 00:45:00";"08/07/2026 - 01:00:00";"0.029500";"kWh";"W";
"08/07/2026 - 01:00:00";"08/07/2026 - 01:15:00";"0.029600";"kWh";"W";
"08/07/2026 - 01:15:00";"08/07/2026 - 01:30:00";"0.029600";"kWh";"W";
"08/07/2026 - 01:30:00";"08/07/2026 - 01:45:00";"0.029500";"kWh";"W";
"08/07/2026 - 01:45:00";"08/07/2026 - 02:00:00";"0.029600";"kWh";"W";
"08/07/2026 - 02:00:00";"08/07/2026 - 02:15:00";"0.030100";"kWh";"W";
"08/07/2026 - 02:15:00";"08/07/2026 - 02:30:00";"0.029900";"kWh";"W";
"08/07/2026 - 02:30:00";"08/07/2026 - 02:45:00";"0.038400";"kWh";"W";
"08/07/2026 - 02:45:00";"08/07/2026 - 03:00:00";"0.038100";"kWh";"W";
"08/07/2026 - 03:00:00";"08/07/2026 - 03:15:00";"0.045600";"kWh";"W";
"08/07/2026 - 03:15:00";"08/07/2026 - 03:30:00";"0.045000";"kWh";"W";
"08/07/2026 - 03:30:00";"08/07/2026 - 03:45:00";"0.039900";"kWh";"W";
"08/07/2026 - 03:45:00";"08/07/2026 - 04:00:00";"0.041500";"kWh";"W";
"08/07/2026 - 04:00:00";"08/07/2026 - 04:15:00";"0.040500";"kWh";"W";
"08/07/2026 - 04:15:00";"08/07/2026 - 04:30:00";"0.023000";"kWh";"W";
"08/07/2026 - 04:30:00";"08/07/2026 - 04:45:00";"0.028600";"kWh";"W";
"08/07/2026 - 04:45:00";"08/07/2026 - 05:00:00";"0.029200";"kWh";"W";
"08/07/2026 - 05:00:00";"08/07/2026 - 05:15:00";"0.029500";"kWh";"W";
"08/07/2026 - 05:15:00";"08/07/2026 - 05:30:00";"0.029400";"kWh";"W";
"08/07/2026 - 05:30:00";"08/07/2026 - 05:45:00";"0.039800";"kWh";"W";
"08/07/2026 - 05:45:00";"08/07/2026 - 06:00:00";"0.032900";"kWh";"W";
"08/07/2026 - 06:00:00";"08/07/2026 - 06:15:00";"0.027600";"kWh";"W";
"08/07/2026 - 06:15:00";"08/07/2026 - 06:30:00";"0.026400";"kWh";"W";
"08/07/2026 - 06:30:00";"08/07/2026 - 06:45:00";"0.024300";"kWh";"W";
"08/07/2026 - 06:45:00";"08/07/2026 - 07:00:00";"0.020500";"kWh";"W";
"08/07/2026 - 07:00:00";"08/07/2026 - 07:15:00";"0.014900";"kWh";"W";
"08/07/2026 - 07:15:00";"08/07/2026 - 07:30:00";"0.016300";"kWh";"W";
"08/07/2026 - 07:30:00";"08/07/2026 - 07:45:00";"0.021600";"kWh";"W";
"08/07/2026 - 07:45:00";"08/07/2026 - 08:00:00";"0.006300";"kWh";"W";
"08/07/2026 - 08:00:00";"08/07/2026 - 08:15:00";"0.006800";"kWh";"W";
"08/07/2026 - 08:15:00";"08/07/2026 - 08:30:00";"0.019000";"kWh";"W";
"08/07/2026 - 08:30:00";"08/07/2026 - 08:45:00";"0.008400";"kWh";"W";
"08/07/2026 - 08:45:00";"08/07/2026 - 09:00:00";"0.012600";"kWh";"W";
"08/07/2026 - 09:00:00";"08/07/2026 - 09:15:00";"0.002400";"kWh";"W";
"08/07/2026 - 09:15:00";"08/07/2026 - 09:30:00";"0.088500";"kWh";"W";
"08/07/2026 - 09:30:00";"08/07/2026 - 09:45:00";"0.161200";"kWh";"W";
"08/07/2026 - 09:45:00";"08/07/2026 - 10:00:00";"0.076700";"kWh";"W";
"08/07/2026 - 10:00:00";"08/07/2026 - 10:15:00";"0.030300";"kWh";"W";
"08/07/2026 - 10:15:00";"08/07/2026 - 10:30:00";"0.081900";"kWh";"W";
"08/07/2026 - 10:30:00";"08/07/2026 - 10:45:00";"0.059200";"kWh";"W";
"08/07/2026 - 10:45:00";"08/07/2026 - 11:00:00";"0.026300";"kWh";"W";
"08/07/2026 - 11:00:00";"08/07/2026 - 11:15:00";"0.036800";"kWh";"W";
"08/07/2026 - 11:15:00";"08/07/2026 - 11:30:00";"0.036500";"kWh";"W";
"08/07/2026 - 11:30:00";"08/07/2026 - 11:45:00";"0.029000";"kWh";"W";
"08/07/2026 - 11:45:00";"08/07/2026 - 12:00:00";"0.025500";"kWh";"W";
"08/07/2026 - 12:00:00";"08/07/2026 - 12:15:00";"0.010600";"kWh";"W";
