 ,Production (W)
2026-08-09 00:00,0
2026-08-09 00:20,0
2026-08-09 00:40,0
2026-08-09 01:00,0
2026-08-09 01:20,0
2026-08-09 01:40,0
2026-08-09 02:00,0
2026-08-09 02:20,0
2026-08-09 02:40,0
2026-08-09 03:00,0
2026-08-09 03:20,0
2026-08-09 03:40,0
2026-08-09 04:00,0
2026-08-09 04:20,0
2026-08-09 04:40,0
2026-08-09 05:00,0
2026-08-09 05:20,0
2026-08-09 05:30,2.8
2026-08-09 05:35,2.9
2026-08-09 05:40,4
2026-08-09 05:45,5.8
2026-08-09 05:50,7.2
2026-08-09 05:55,9.4
2026-08-09 06:00,10.6
2026-08-09 06:05,12.2
2026-08-09 06:10,12.1
2026-08-09 06:15,15.8
2026-08-09 06:20,51.1
2026-08-09 06:25,61.8
2026-08-09 06:30,67.1
2026-08-09 06:35,72
2026-08-09 06:40,68.2
2026-08-09 06:45,56
2026-08-09 06:50,82.2
2026-08-09 06:55,84.4
2026-08-09 07:00,109
2026-08-09 07:05,113.4
2026-08-09 07:10,118.9
2026-08-09 07:15,124.8
2026-08-09 07:20,130
2026-08-09 07:25,135
2026-08-09 07:30,140.1
2026-08-09 07:35,144.8
2026-08-09 07:40,150.1
2026-08-09 07:45,156.3
2026-08-09 07:50,166.6
2026-08-09 07:55,162.4
2026-08-09 08:00,197.6
2026-08-09 08:05,105.9
2026-08-09 08:10,142.6
2026-08-09 08:15,144.4
2026-08-09 08:20,212.7
2026-08-09 08:25,205.1
2026-08-09 08:30,208.2
2026-08-09 08:35,213.1
2026-08-09 08:40,218.1
2026-08-09 08:45,224.9
2026-08-09 08:50,232.9
2026-08-09 08:55,240.9
2026-08-09 09:00,249.8
2026-08-09 09:05,258.6
2026-08-09 09:10,268
2026-08-09 09:15,272.4
2026-08-09 09:20,278.5
2026-08-09 09:25,285.3
2026-08-09 09:30,292.9
2026-08-09 09:35,300.1
2026-08-09 09:40,307
2026-08-09 09:45,314
2026-08-09 09:50,321.1
2026-08-09 09:55,327.3
2026-08-09 10:00,334.3
2026-08-09 10:05,341.2
2026-08-09 10:10,348.4
2026-08-09 10:15,353.9
2026-08-09 10:20,361.4
2026-08-09 10:25,365.5
2026-08-09 10:30,371.3
2026-08-09 10:35,378.3
2026-08-09 10:40,385
2026-08-09 10:45,390.8
2026-08-09 10:50,397.5
2026-08-09 10:55,402.3
2026-08-09 11:00,407.4
2026-08-09 11:05,409.7
2026-08-09 11:10,413.4
2026-08-09 11:15,419.1
2026-08-09 11:20,423.9
2026-08-09 11:25,427
2026-08-09 11:30,430.7
2026-08-09 11:35,434.6
2026-08-09 11:40,441.2
2026-08-09 11:45,444.2
2026-08-09 11:50,448.2
2026-08-09 11:55,450.5
2026-08-09 12:00,451.7
2026-08-09 12:05,453.7
2026-08-09 12:10,457.9
2026-08-09 12:15,457.9
2026-08-09 12:20,461.9
2026-08-09 12:25,462.5
2026-08-09 12:30,463.6
2026-08-09 12:35,468
2026-08-09 12:40,466.6
2026-08-09 12:45,469.8
2026-08-09 12:50,469.7
2026-08-09 12:55,470.7
2026-08-09 13:00,472.9
