 ,Production (W)
2026-08-12 00:00,0
2026-08-12 00:20,0
2026-08-12 00:40,0
2026-08-12 01:00,0
2026-08-12 01:20,0
2026-08-12 01:40,0
2026-08-12 02:00,0
2026-08-12 02:20,0
2026-08-12 02:40,0
2026-08-12 03:00,0
2026-08-12 03:20,0
2026-08-12 03:40,0
2026-08-12 04:00,0
2026-08-12 04:20,0
2026-08-12 04:40,0
2026-08-12 05:00,0
2026-08-12 05:20,0
2026-08-12 05:40,2.1
2026-08-12 05:45,3.1
2026-08-12 05:50,4.5
2026-08-12 05:55,6.4
2026-08-12 06:00,8.8
2026-08-12 06:05,10.6
2026-08-12 06:10,12.7
2026-08-12 06:15,14.6
2026-08-12 06:20,18.1
2026-08-12 06:25,37.4
2026-08-12 06:30,57
2026-08-12 06:35,64.9
2026-08-12 06:40,72.2
2026-08-12 06:45,77.8
2026-08-12 06:50,85.2
2026-08-12 06:55,92.2
2026-08-12 07:00,99.6
2026-08-12 07:05,106
2026-08-12 07:10,111.8
2026-08-12 07:15,117
2026-08-12 07:20,122.3
2026-08-12 07:25,128.1
2026-08-12 07:30,134
2026-08-12 07:35,139.9
2026-08-12 07:40,144.5
2026-08-12 07:45,149.6
2026-08-12 07:50,154.6
2026-08-12 07:55,159.5
2026-08-12 08:00,164.8
2026-08-12 08:05,170.2
2026-08-12 08:10,176.7
2026-08-12 08:15,183.3
2026-08-12 08:20,189
2026-08-12 08:25,195.7
2026-08-12 08:30,201.6
2026-08-12 08:35,207.4
2026-08-12 08:40,213.3
2026-08-12 08:45,219.7
2026-08-12 08:50,226.2
2026-08-12 08:55,232.7
2026-08-12 09:00,239.5
2026-08-12 09:05,246.9
2026-08-12 09:10,254.3
2026-08-12 09:15,261.8
2026-08-12 09:20,269.2
2026-08-12 09:25,277.1
2026-08-12 09:30,285
2026-08-12 09:35,292.3
2026-08-12 09:40,299.9
2026-08-12 09:45,306.7
2026-08-12 09:50,314.7
2026-08-12 09:55,321.4
2026-08-12 10:00,332
2026-08-12 10:05,337.5
2026-08-12 10:10,345.1
2026-08-12 10:15,364.5
2026-08-12 10:20,370.8
2026-08-12 10:25,378.1
2026-08-12 10:30,402.6
2026-08-12 10:35,401.2
2026-08-12 10:40,396.3
2026-08-12 10:45,391.5
2026-08-12 10:50,352.7
2026-08-12 10:55,210.5
2026-08-12 11:00,227.1
2026-08-12 11:05,412.8
2026-08-12 11:10,411.7
2026-08-12 11:15,416.6
2026-08-12 11:20,421.2
2026-08-12 11:25,422.4
2026-08-12 11:30,424.8
2026-08-12 11:35,429.2
2026-08-12 11:40,437.3
2026-08-12 11:45,441.8
2026-08-12 11:50,444.5
2026-08-12 11:55,448.2
2026-08-12 12:00,453.7
2026-08-12 12:05,454.9
2026-08-12 12:10,462.8
2026-08-12 12:15,465.6
2026-08-12 12:20,465.9
2026-08-12 12:25,469.2
2026-08-12 12:30,464.5
2026-08-12 12:35,461.1
2026-08-12 12:40,468.3
2026-08-12 12:45,460.7
2026-08-12 12:50,472
2026-08-12 12:55,470.8
