 ,Production (W)
2026-08-13 00:00,0
2026-08-13 00:20,0
2026-08-13 00:40,0
2026-08-13 01:00,0
2026-08-13 01:20,0
2026-08-13 01:40,0
2026-08-13 02:00,0
2026-08-13 02:20,0
2026-08-13 02:40,0
2026-08-13 03:00,0
2026-08-13 03:20,0
2026-08-13 03:40,0
2026-08-13 04:00,0
2026-08-13 04:20,0
2026-08-13 04:40,0
2026-08-13 05:00,0
2026-08-13 05:20,0
2026-08-13 05:40,0
2026-08-13 05:45,2.3
2026-08-13 05:50,3.5
2026-08-13 05:55,5
2026-08-13 06:00,6.9
2026-08-13 06:05,8.5
2026-08-13 06:10,10.2
2026-08-13 06:15,11.7
2026-08-13 06:20,14.5
2026-08-13 06:25,28
2026-08-13 06:30,40.7
2026-08-13 06:35,47.1
2026-08-13 06:40,54.4
2026-08-13 06:45,61.2
2026-08-13 06:50,68.9
2026-08-13 06:55,75.8
2026-08-13 07:00,83.5
2026-08-13 07:05,90.2
2026-08-13 07:10,95.4
2026-08-13 07:15,102.1
2026-08-13 07:20,109.4
2026-08-13 07:25,115.3
2026-08-13 07:30,122.6
2026-08-13 07:35,129.9
2026-08-13 07:40,137.2
2026-08-13 07:45,143.8
2026-08-13 07:50,148
2026-08-13 07:55,150.1
2026-08-13 08:00,155.3
2026-08-13 08:05,160.6
2026-08-13 08:10,167.4
2026-08-13 08:15,173.3
2026-08-13 08:20,179.6
2026-08-13 08:25,185.9
2026-08-13 08:30,178.6
2026-08-13 08:35,201
2026-08-13 08:40,206.5
2026-08-13 08:45,212.7
2026-08-13 08:50,219.1
2026-08-13 08:55,217.7
2026-08-13 09:00,233.1
2026-08-13 09:05,240.5
2026-08-13 09:10,247.3
2026-08-13 09:15,254.5
2026-08-13 09:20,262.1
2026-08-13 09:25,269
2026-08-13 09:30,275.1
2026-08-13 09:35,280.6
2026-08-13 09:40,290.6
2026-08-13 09:45,298.4
2026-08-13 09:50,301.6
2026-08-13 09:55,309.3
2026-08-13 10:00,315.5
2026-08-13 10:05,322.3
2026-08-13 10:10,332.7
2026-08-13 10:15,340
2026-08-13 10:20,343.1
2026-08-13 10:25,351.8
2026-08-13 10:30,358.8
2026-08-13 10:35,363.5
2026-08-13 10:40,349.6
2026-08-13 10:45,348.1
2026-08-13 10:50,377.9
2026-08-13 10:55,385.8
2026-08-13 11:00,394.2
2026-08-13 11:05,397.1
2026-08-13 11:10,405
2026-08-13 11:15,408.5
2026-08-13 11:20,411.3
2026-08-13 11:25,411.7
2026-08-13 11:30,416.6
2026-08-13 11:35,423.5
2026-08-13 11:40,428.3
2026-08-13 11:45,429.1
2026-08-13 11:50,430.3
2026-08-13 11:55,440.6
2026-08-13 12:00,445.2
2026-08-13 12:05,442.8
2026-08-13 12:10,445.9
2026-08-13 12:15,448.8
2026-08-13 12:20,450.9
2026-08-13 12:25,453.3
2026-08-13 12:30,454.7
2026-08-13 12:35,452.8
2026-08-13 12:40,451.8
2026-08-13 12:45,456.7
2026-08-13 12:50,459.9
2026-08-13 12:55,459.4
2026-08-13 13:00,462.1
2026-08-13 13:05,458.3
2026-08-13 13:10,461.8
2026-08-13 13:15,458.1
2026-08-13 13:20,457
2026-08-13 13:25,463.6
2026-08-13 13:30,464.4
2026-08-13 13:35,452.6
2026-08-13 13:40,455.6
2026-08-13 13:45,456.4
2026-08-13 13:50,457.2
2026-08-13 13:55,455.1
2026-08-13 14:00,457.5
2026-08-13 14:05,440
2026-08-13 14:10,443.7
2026-08-13 14:15,450.4
2026-08-13 14:20,448
2026-08-13 14:25,433.7
2026-08-13 14:30,424.4
2026-08-13 14:35,438.7
2026-08-13 14:40,434.9
2026-08-13 14:45,432.1
2026-08-13 14:50,398.8
2026-08-13 14:55,425.6
2026-08-13 15:00,406.9
2026-08-13 15:05,409
2026-08-13 15:10,414.3
2026-08-13 15:15,408.1
2026-08-13 15:20,402.8
2026-08-13 15:25,398.2
2026-08-13 15:30,393.2
2026-08-13 15:35,387.9
2026-08-13 15:40,382.5
2026-08-13 15:45,379
2026-08-13 15:50,372.1
2026-08-13 15:55,366.1
2026-08-13 16:00,359.8
2026-08-13 16:05,353.6
2026-08-13 16:10,349.7
2026-08-13 16:15,345.7
2026-08-13 16:20,337.9
2026-08-13 16:25,330.6
2026-08-13 16:30,323.8
2026-08-13 16:35,317.1
2026-08-13 16:40,311.7
2026-08-13 16:45,300
2026-08-13 16:50,292.8
2026-08-13 16:55,288.3
2026-08-13 17:00,284.4
2026-08-13 17:05,275.5
2026-08-13 17:10,269.5
2026-08-13 17:15,262.2
2026-08-13 17:20,256.6
2026-08-13 17:25,249.7
2026-08-13 17:30,242
2026-08-13 17:35,234.6
2026-08-13 17:40,226.7
2026-08-13 17:45,220.1
2026-08-13 17:50,214.9
2026-08-13 17:55,207.6
2026-08-13 18:00,199.5
2026-08-13 18:05,192.3
2026-08-13 18:10,185.9
2026-08-13 18:15,179.4
2026-08-13 18:20,173
2026-08-13 18:25,166.9
2026-08-13 18:30,161
2026-08-13 18:35,154.3
2026-08-13 18:40,148.4
2026-08-13 18:45,142.2
2026-08-13 18:50,136.1
2026-08-13 18:55,129.9
2026-08-13 19:00,123.8
2026-08-13 19:05,117.7
2026-08-13 19:10,111.3
2026-08-13 19:15,104.9
2026-08-13 19:20,98.1
2026-08-13 19:25,91.4
2026-08-13 19:30,84.9
2026-08-13 19:35,78.2
2026-08-13 19:40,71.4
2026-08-13 19:45,64.6
2026-08-13 19:50,57.7
2026-08-13 19:55,50.8
2026-08-13 20:00,43.9
2026-08-13 20:05,36.9
2026-08-13 20:10,30.2
2026-08-13 20:15,23.4
2026-08-13 20:20,17.4
2026-08-13 20:25,6.4
2026-08-13 20:30,4.8
2026-08-13 20:35,3.5
2026-08-13 20:40,2.4
2026-08-13 21:00,0
2026-08-13 21:20,0
2026-08-13 21:40,0
2026-08-13 22:00,0
2026-08-13 22:20,0
2026-08-13 22:40,0
2026-08-13 23:00,0
2026-08-13 23:20,0
2026-08-13 23:40,0
