 ,Production (W)
2026-08-14 00:00,0
2026-08-14 00:20,0
2026-08-14 00:40,0
2026-08-14 01:00,0
2026-08-14 01:20,0
2026-08-14 01:40,0
2026-08-14 02:00,0
2026-08-14 02:20,0
2026-08-14 02:40,0
2026-08-14 03:00,0
2026-08-14 03:20,0
2026-08-14 03:40,0
2026-08-14 04:00,0
2026-08-14 04:20,0
2026-08-14 04:40,0
2026-08-14 05:00,0
2026-08-14 05:20,0
2026-08-14 05:40,0
2026-08-14 05:50,3.2
2026-08-14 05:55,4.4
2026-08-14 06:00,6
2026-08-14 06:05,7.1
2026-08-14 06:10,8.7
2026-08-14 06:15,10.4
2026-08-14 06:20,13.7
2026-08-14 06:25,34.8
2026-08-14 06:30,48
2026-08-14 06:35,60.7
2026-08-14 06:40,68.5
2026-08-14 06:45,75.4
2026-08-14 06:50,82.3
2026-08-14 06:55,89
2026-08-14 07:00,95.3
2026-08-14 07:05,101.3
2026-08-14 07:10,107
2026-08-14 07:15,112.8
2026-08-14 07:20,118
2026-08-14 07:25,123.3
2026-08-14 07:30,128.4
2026-08-14 07:35,133.2
2026-08-14 07:40,88.6
2026-08-14 07:45,144.7
2026-08-14 07:50,149.2
2026-08-14 07:55,153.7
2026-08-14 08:00,158.1
2026-08-14 08:05,162.5
2026-08-14 08:10,167.7
2026-08-14 08:15,173.5
2026-08-14 08:20,178.7
2026-08-14 08:25,184.8
2026-08-14 08:30,190.8
2026-08-14 08:35,197.2
2026-08-14 08:40,203.1
2026-08-14 08:45,210.1
2026-08-14 08:50,217
2026-08-14 08:55,223.9
2026-08-14 09:00,231
2026-08-14 09:05,237.7
2026-08-14 09:10,245.5
2026-08-14 09:15,253.1
2026-08-14 09:20,261.5
2026-08-14 09:25,269.1
2026-08-14 09:30,277.3
2026-08-14 09:35,284
2026-08-14 09:40,291.8
2026-08-14 09:45,301.8
2026-08-14 09:50,309.4
2026-08-14 09:55,317.7
2026-08-14 10:00,328.1
2026-08-14 10:05,337.9
2026-08-14 10:10,347.1
2026-08-14 10:15,356.5
2026-08-14 10:20,334.7
2026-08-14 10:25,344
2026-08-14 10:30,387.8
2026-08-14 10:35,394.6
2026-08-14 10:40,369.7
2026-08-14 10:45,299.3
2026-08-14 10:50,297.6
2026-08-14 10:55,359
2026-08-14 11:00,403.5
2026-08-14 11:05,401.3
2026-08-14 11:10,405.6
2026-08-14 11:15,408.2
2026-08-14 11:20,410.6
2026-08-14 11:25,415.1
2026-08-14 11:30,419.8
2026-08-14 11:35,423.9
2026-08-14 11:40,426.9
2026-08-14 11:45,428.8
2026-08-14 11:50,431.5
2026-08-14 11:55,435
2026-08-14 12:00,436.1
2026-08-14 12:05,438.3
2026-08-14 12:10,441.9
2026-08-14 12:15,444.6
2026-08-14 12:20,444.8
2026-08-14 12:25,445.3
2026-08-14 12:30,449.1
2026-08-14 12:35,450.6
2026-08-14 12:40,452.3
2026-08-14 12:45,451
2026-08-14 12:50,452.7
2026-08-14 12:55,454.3
2026-08-14 13:00,452.5
2026-08-14 13:05,454.3
2026-08-14 13:10,452.1
2026-08-14 13:15,452.1
2026-08-14 13:20,452.8
2026-08-14 13:25,448.8
2026-08-14 13:30,451.8
2026-08-14 13:35,451.4
2026-08-14 13:40,446.4
2026-08-14 13:45,446.8
2026-08-14 13:50,445.6
2026-08-14 13:55,444.3
2026-08-14 14:00,445.9
2026-08-14 14:05,440.2
2026-08-14 14:10,435.7
2026-08-14 14:15,439.4
2026-08-14 14:20,436
2026-08-14 14:25,433.1
2026-08-14 14:30,430.9
2026-08-14 14:35,427.8
2026-08-14 14:40,426.4
2026-08-14 14:45,424.6
2026-08-14 14:50,419.6
2026-08-14 14:55,412.1
2026-08-14 15:00,409.2
2026-08-14 15:05,408.4
2026-08-14 15:10,403.3
2026-08-14 15:15,400.6
2026-08-14 15:20,398.7
2026-08-14 15:25,395.6
2026-08-14 15:30,391.4
2026-08-14 15:35,382.1
2026-08-14 15:40,369.2
2026-08-14 15:45,374.8
2026-08-14 15:50,366.1
2026-08-14 15:55,326.7
