 ,Production (W)
2026-08-15 00:00,0
2026-08-15 00:20,0
2026-08-15 00:40,0
2026-08-15 01:00,0
2026-08-15 01:20,0
2026-08-15 01:40,0
2026-08-15 02:00,0
2026-08-15 02:20,0
2026-08-15 02:40,0
2026-08-15 03:00,0
2026-08-15 03:20,0
2026-08-15 03:40,0
2026-08-15 04:00,0
2026-08-15 04:20,0
2026-08-15 04:40,0
2026-08-15 05:00,0
2026-08-15 05:20,0
2026-08-15 05:40,0
2026-08-15 05:55,2.6
2026-08-15 06:00,4.1
2026-08-15 06:05,5.9
2026-08-15 06:10,8
2026-08-15 06:15,10.5
2026-08-15 06:20,14.2
2026-08-15 06:25,28.5
2026-08-15 06:30,30.7
2026-08-15 06:35,39
2026-08-15 06:40,47.6
2026-08-15 06:45,54.1
2026-08-15 06:50,60.2
2026-08-15 06:55,66.5
2026-08-15 07:00,73.6
2026-08-15 07:05,80.6
2026-08-15 07:10,87.2
2026-08-15 07:15,93
2026-08-15 07:20,99.1
2026-08-15 07:25,104.8
2026-08-15 07:30,111.3
2026-08-15 07:35,117.4
2026-08-15 07:40,123.2
2026-08-15 07:45,128.3
2026-08-15 07:50,133.1
2026-08-15 07:55,138.1
2026-08-15 08:00,143.4
2026-08-15 08:05,148.5
2026-08-15 08:10,153.4
2026-08-15 08:15,158.7
2026-08-15 08:20,164.4
2026-08-15 08:25,170.7
2026-08-15 08:30,176.7
2026-08-15 08:35,182.9
2026-08-15 08:40,190.4
2026-08-15 08:45,197
2026-08-15 08:50,202.7
2026-08-15 08:55,209.5
2026-08-15 09:00,215.8
2026-08-15 09:05,223.8
2026-08-15 09:10,231
2026-08-15 09:15,237.4
2026-08-15 09:20,245
2026-08-15 09:25,251.4
2026-08-15 09:30,258.1
2026-08-15 09:35,266.9
2026-08-15 09:40,273.3
2026-08-15 09:45,279.7
2026-08-15 09:50,286.1
2026-08-15 09:55,292.3
2026-08-15 10:00,298.3
2026-08-15 10:05,303.9
2026-08-15 10:10,312.9
2026-08-15 10:15,319.1
2026-08-15 10:20,326.7
2026-08-15 10:25,332.7
2026-08-15 10:30,339.8
2026-08-15 10:35,335.4
2026-08-15 10:40,295
2026-08-15 10:45,356.8
2026-08-15 10:50,359.6
2026-08-15 10:55,365
2026-08-15 11:00,372.3
2026-08-15 11:05,378
2026-08-15 11:10,387.5
2026-08-15 11:15,395
2026-08-15 11:20,400.9
2026-08-15 11:25,371.8
2026-08-15 11:30,421.5
2026-08-15 11:35,400
2026-08-15 11:40,403.8
2026-08-15 11:45,395
2026-08-15 11:50,419.4
2026-08-15 11:55,422.3
2026-08-15 12:00,424
2026-08-15 12:05,431.8
2026-08-15 12:10,435.2
2026-08-15 12:15,438.3
2026-08-15 12:20,423.1
2026-08-15 12:25,274.4
2026-08-15 12:30,357.1
2026-08-15 12:35,243.2
2026-08-15 12:40,440.4
2026-08-15 12:45,435.6
2026-08-15 12:50,433.6
2026-08-15 12:55,410
2026-08-15 13:00,434.2
2026-08-15 13:05,436.8
2026-08-15 13:10,435
2026-08-15 13:15,433
2026-08-15 13:20,431.9
2026-08-15 13:25,439.6
2026-08-15 13:30,445.1
2026-08-15 13:35,441.9
2026-08-15 13:40,442.1
2026-08-15 13:45,439.6
2026-08-15 13:50,431.5
2026-08-15 13:55,443.8
2026-08-15 14:00,440.4
2026-08-15 14:05,424.9
2026-08-15 14:10,442.8
2026-08-15 14:15,416.5
2026-08-15 14:20,352.9
2026-08-15 14:25,259.6
2026-08-15 14:30,181.4
2026-08-15 14:35,144.8
2026-08-15 14:40,125.1
2026-08-15 14:45,145.4
2026-08-15 14:50,99.3
2026-08-15 14:55,53.6
2026-08-15 15:00,55.5
2026-08-15 15:05,62.2
2026-08-15 15:10,107.4
2026-08-15 15:15,228.9
2026-08-15 15:20,176.9
2026-08-15 15:25,204.2
2026-08-15 15:30,142.7
2026-08-15 15:35,112.5
2026-08-15 15:40,132.3
2026-08-15 15:45,138.4
2026-08-15 15:50,120.9
2026-08-15 15:55,144.3
2026-08-15 16:00,190.8
2026-08-15 16:05,167
2026-08-15 16:10,114.4
2026-08-15 16:15,114.5
2026-08-15 16:20,198.6
2026-08-15 16:25,182.4
2026-08-15 16:30,157.3
2026-08-15 16:35,163.8
2026-08-15 16:40,286.3
2026-08-15 16:45,288.1
2026-08-15 16:50,327.3
2026-08-15 16:55,296.5
2026-08-15 17:00,117.6
2026-08-15 17:05,123.6
2026-08-15 17:10,110.8
2026-08-15 17:15,232.1
2026-08-15 17:20,251.9
2026-08-15 17:25,235.4
2026-08-15 17:30,103.5
2026-08-15 17:35,254.9
2026-08-15 17:40,201
2026-08-15 17:45,199.6
2026-08-15 17:50,182.3
2026-08-15 17:55,180
2026-08-15 18:00,213.6
2026-08-15 18:05,184
2026-08-15 18:10,183
2026-08-15 18:15,159.2
2026-08-15 18:20,133.8
2026-08-15 18:25,160.1
2026-08-15 18:30,69.2
2026-08-15 18:35,117.3
2026-08-15 18:40,126.8
2026-08-15 18:45,114.6
2026-08-15 18:50,127.3
2026-08-15 18:55,85.6
2026-08-15 19:00,54.6
2026-08-15 19:05,46.4
2026-08-15 19:10,46.4
2026-08-15 19:15,52.4
2026-08-15 19:20,46.9
2026-08-15 19:25,36.8
2026-08-15 19:30,35.5
2026-08-15 19:35,30.1
2026-08-15 19:40,24.3
2026-08-15 19:45,17.3
2026-08-15 19:50,12.8
2026-08-15 19:55,9.3
2026-08-15 20:00,6.9
2026-08-15 20:05,5.7
2026-08-15 20:10,4.2
2026-08-15 20:15,2.9
2026-08-15 20:20,1.7
2026-08-15 20:40,0
2026-08-15 21:00,0
2026-08-15 21:20,0
2026-08-15 21:40,0
2026-08-15 22:00,0
2026-08-15 22:20,0
2026-08-15 22:40,0
2026-08-15 23:00,0
2026-08-15 23:20,0
2026-08-15 23:40,0
